nodes,tasks,clients,xfersize,blocksize,write,read
3,3,1,4K,266G,3876,4411
3,6,2,4K,133G,3853,8365
3,9,3,4K,88G,4081,9003
3,12,4,4K,66G,4063,9031
3,15,5,4K,53G,4113,9002
3,18,6,4K,44G,4122,9004
3,21,7,4K,37G,4122,8926
3,24,8,4K,33G,4056,8790
3,27,9,4K,29G,4181,8632
3,30,10,4K,26G,4117,8584
3,33,11,4K,23G,4107,8626
3,36,12,4K,21G,4124,8433
3,39,13,4K,20G,3991,8577
3,42,14,4K,18G,4149,8322
3,45,15,4K,17G,4027,8391
3,48,16,4K,16G,4236,8142
3,51,17,4K,15G,4148,8070
3,54,18,4K,14G,4152,8687
3,57,19,4K,13G,4193,8834
3,60,20,4K,13G,4183,8611
3,63,21,4K,12G,4179,8967
3,66,22,4K,11G,4264,8881
3,69,23,4K,11G,4082,7720
3,72,24,4K,10G,4100,8302
3,75,25,4K,10G,4152,7922
3,78,26,4K,9G,4128,8778
3,81,27,4K,9G,4190,8132
3,84,28,4K,9G,4003,8085
3,87,29,4K,8G,4122,8295
3,90,30,4K,8G,4283,8217
3,93,31,4K,8G,3965,8531
3,96,32,4K,8G,3978,8376
3,99,33,4K,7G,4251,8993
3,102,34,4K,7G,4203,8675
3,105,35,4K,7G,4040,8706
3,108,36,4K,7G,4138,8374
3,111,37,4K,6G,4295,8638
3,114,38,4K,6G,4223,8934
3,117,39,4K,6G,4096,8901
3,120,40,4K,6G,4188,8656
3,123,41,4K,6G,3950,8476
3,126,42,4K,6G,4195,8775
3,129,43,4K,5G,4364,8884
3,132,44,4K,5G,3998,8931
3,135,45,4K,5G,4214,9042
3,138,46,4K,5G,4074,8689
3,141,47,4K,5G,4026,8741
3,144,48,4K,5G,4048,9061
3,3,1,1M,266G,3945,6115
3,6,2,1M,133G,4046,8760
3,9,3,1M,88G,4155,8975
3,12,4,1M,66G,4177,9040
3,15,5,1M,53G,4122,9007
3,18,6,1M,44G,4205,8908
3,21,7,1M,37G,4114,8824
3,24,8,1M,33G,4211,8788
3,27,9,1M,29G,4083,8527
3,30,10,1M,26G,4193,8671
3,33,11,1M,23G,4128,8709
3,36,12,1M,21G,4005,8444
3,39,13,1M,20G,4001,8570
3,42,14,1M,18G,4294,8247
3,45,15,1M,17G,4156,8302
3,48,16,1M,16G,4210,8244
3,51,17,1M,15G,4189,8443
3,54,18,1M,14G,4315,9258
3,57,19,1M,13G,4230,8672
3,60,20,1M,13G,4137,8416
3,63,21,1M,12G,4098,8339
3,66,22,1M,11G,4214,8755
3,69,23,1M,11G,4026,8899
3,72,24,1M,10G,4352,8752
3,75,25,1M,10G,4267,8981
3,78,26,1M,9G,4126,9067
3,81,27,1M,9G,3953,8776
3,84,28,1M,9G,4094,8806
3,87,29,1M,8G,4126,8691
3,90,30,1M,8G,4166,8947
3,93,31,1M,8G,4129,9328
3,96,32,1M,8G,3943,8134
3,99,33,1M,7G,4285,9327
3,102,34,1M,7G,4278,9094
3,105,35,1M,7G,4098,8884
3,108,36,1M,7G,4033,8987
3,111,37,1M,6G,4288,9120
3,114,38,1M,6G,4359,8943
3,117,39,1M,6G,4243,9262
3,120,40,1M,6G,4206,8929
3,123,41,1M,6G,4092,8937
3,126,42,1M,6G,4237,8899
3,129,43,1M,5G,4488,8908
3,132,44,1M,5G,4216,9111
3,135,45,1M,5G,4237,9207
3,138,46,1M,5G,4422,9205
3,141,47,1M,5G,4086,9338
3,144,48,1M,5G,4096,8993
3,3,1,4M,266G,4019,6101
3,6,2,4M,133G,4082,8746
3,9,3,4M,88G,4168,8968
3,12,4,4M,66G,4141,9020
3,15,5,4M,53G,4177,9019
3,18,6,4M,44G,4203,8910
3,21,7,4M,37G,4232,8899
3,24,8,4M,33G,4170,8811
3,27,9,4M,29G,4066,8557
3,30,10,4M,26G,4206,8527
3,33,11,4M,23G,4155,8351
3,36,12,4M,21G,3994,8303
3,39,13,4M,20G,3948,8394
3,42,14,4M,18G,4229,8136
3,45,15,4M,17G,4260,8282
3,48,16,4M,16G,4317,8556
3,51,17,4M,15G,4117,9169
3,54,18,4M,14G,4180,8795
3,57,19,4M,13G,4383,8763
3,60,20,4M,13G,4110,9025
3,63,21,4M,12G,4057,9008
3,66,22,4M,11G,4260,9053
3,69,23,4M,11G,4040,8913
3,72,24,4M,10G,4226,9178
3,75,25,4M,10G,4068,8697
3,78,26,4M,9G,4038,9276
3,81,27,4M,9G,4246,8944
3,84,28,4M,9G,4123,8769
3,87,29,4M,8G,4153,9001
3,90,30,4M,8G,4148,9084
3,93,31,4M,8G,4075,8903
3,96,32,4M,8G,4227,8727
3,99,33,4M,7G,4173,9781
3,102,34,4M,7G,4177,9338
3,105,35,4M,7G,4187,8944
3,108,36,4M,7G,3960,8655
3,111,37,4M,6G,4422,9228
3,114,38,4M,6G,4168,9345
3,117,39,4M,6G,4258,10143
3,120,40,4M,6G,4320,8515
3,123,41,4M,6G,4190,8554
3,126,42,4M,6G,4132,9009
3,129,43,4M,5G,4275,9012
3,132,44,4M,5G,4195,9526
3,135,45,4M,5G,4334,9540
3,138,46,4M,5G,4132,9280
3,141,47,4M,5G,4104,9502
3,144,48,4M,5G,4169,9046
3,3,1,64M,266G,4086,5431
3,6,2,64M,133G,4087,8318
3,9,3,64M,88G,4232,8891
3,12,4,64M,66G,4209,8956
3,15,5,64M,53G,4178,8976
3,18,6,64M,44G,4166,8922
3,21,7,64M,37G,4314,8869
3,24,8,64M,33G,4047,8729
3,27,9,64M,29G,4057,8653
3,30,10,64M,26G,4237,8519
3,33,11,64M,23G,4307,8277
3,36,12,64M,21G,4089,8205
3,39,13,64M,20G,3945,8430
3,42,14,64M,18G,4110,8265
3,45,15,64M,17G,4337,8332
3,48,16,64M,16G,4195,7828
3,51,17,64M,15G,4140,8267
3,54,18,64M,14G,4235,8343
3,57,19,64M,13G,4266,8636
3,60,20,64M,13G,4073,8883
3,63,21,64M,12G,4207,8646
3,66,22,64M,11G,4176,8778
3,69,23,64M,11G,4016,8434
3,72,24,64M,10G,4131,8877
3,75,25,64M,10G,4151,8560
3,78,26,64M,9G,4350,8682
3,81,27,64M,9G,4291,8896
3,84,28,64M,9G,3961,8523
,,,,,,
3,90,30,64M,8G,4040,8796
3,93,31,64M,8G,4220,8706
3,96,32,64M,8G,4065,8529
3,99,33,64M,7G,4148,9069
3,102,34,64M,7G,4292,8716
3,105,35,64M,7G,4058,8448
3,108,36,64M,7G,4197,8779
3,111,37,64M,6G,4332,8990
3,114,38,64M,6G,4090,9115
3,117,39,64M,6G,4194,8906
3,120,40,64M,6G,4205,9204
3,123,41,64M,6G,4020,8614
3,126,42,64M,6G,4035,8678
3,129,43,64M,5G,4361,8952
3,132,44,64M,5G,4144,9061
3,135,45,64M,5G,4137,9114
3,138,46,64M,5G,4223,8967
3,141,47,64M,5G,4097,8561
3,144,48,64M,5G,4023,9032
3,3,1,128M,266G,3861,5252
3,6,2,128M,133G,3926,8074
3,9,3,128M,88G,4296,8826
3,12,4,128M,66G,4057,8894
3,15,5,128M,53G,4306,8970
3,18,6,128M,44G,4175,8919
