nodes,tasks,clients,xfersize,blocksize,write,read
3,21,7,128M,37G,4290,8822
3,24,8,128M,33G,4151,8775
3,27,9,128M,29G,4095,8620
3,30,10,128M,26G,4098,8543
3,33,11,128M,23G,4255,8421
3,36,12,128M,21G,4276,8116
3,39,13,128M,20G,3995,8255
3,42,14,128M,18G,3960,8194
3,45,15,128M,17G,4265,8253
3,48,16,128M,16G,4259,8218
3,51,17,128M,15G,4183,8743
3,54,18,128M,14G,4241,8723
3,57,19,128M,13G,4256,9192
3,60,20,128M,13G,4036,9110
3,63,21,128M,12G,3942,8607
3,66,22,128M,11G,4098,8981
3,69,23,128M,11G,4141,9185
3,72,24,128M,10G,4132,8714
3,75,25,128M,10G,4093,8677
3,78,26,128M,9G,4206,8854
3,81,27,128M,9G,4129,9033
3,84,28,128M,9G,4035,8769
3,87,29,128M,8G,4257,9161
3,90,30,128M,8G,4073,8990
3,93,31,128M,8G,3969,8978
3,96,32,128M,8G,3944,8925
3,99,33,128M,7G,4285,9243
3,102,34,128M,7G,4130,8946
3,105,35,128M,7G,3988,8598
3,108,36,128M,7G,3898,8799
3,111,37,128M,6G,4146,8555
3,114,38,128M,6G,4080,8392
3,117,39,128M,6G,4016,8740
3,120,40,128M,6G,4146,8659
3,123,41,128M,6G,4184,8904
3,126,42,128M,6G,4032,8743
3,129,43,128M,5G,4164,8690
3,132,44,128M,5G,4251,8770
3,135,45,128M,5G,4093,8989
3,138,46,128M,5G,4055,8740
3,141,47,128M,5G,4038,8667
3,144,48,128M,5G,4252,8604
