nodes,tasks,clients,xfersize,blocksize,write,read
1,41,41,64M,640M,1024,1239
1,42,42,64M,640M,1024,1245
1,43,43,64M,640M,1037,1329
1,44,44,64M,640M,1029,1231
1,45,45,64M,640M,1002,982
1,46,46,64M,640M,888,1255
1,47,47,64M,640M,864,1252
1,48,48,64M,640M,997,1107
1,1,1,128M,128M,399,369
1,2,2,128M,128M,724,438
1,3,3,128M,128M,956,604
1,4,4,128M,128M,1060,706
1,5,5,128M,128M,1001,796
1,6,6,128M,128M,1042,986
1,7,7,128M,128M,1109,1067
1,8,8,128M,128M,1035,1139
1,9,9,128M,128M,1119,1191
1,10,10,128M,128M,1038,1239
1,11,11,128M,128M,1097,856
1,12,12,128M,128M,1029,1315
1,13,13,128M,128M,1025,1339
1,14,14,128M,128M,1030,1371
1,15,15,128M,128M,1077,1290
1,16,16,128M,128M,1074,1396
1,17,17,128M,128M,1045,1396
1,18,18,128M,128M,1085,1276
1,19,19,128M,128M,1089,1368
1,20,20,128M,128M,1065,1441
1,21,21,128M,128M,1095,1445
1,22,22,128M,128M,1058,1455
1,23,23,128M,128M,1015,1432
1,24,24,128M,128M,1041,1443
1,25,25,128M,128M,1064,1467
1,26,26,128M,128M,1029,1468
1,27,27,128M,128M,1049,1477
1,28,28,128M,128M,1078,1470
1,29,29,128M,128M,1045,1482
1,30,30,128M,128M,1018,1460
1,31,31,128M,128M,1033,1528
1,32,32,128M,128M,1044,1446
1,33,33,128M,128M,1056,1434
1,34,34,128M,128M,1082,1432
1,35,35,128M,128M,1063,1273
1,36,36,128M,128M,1059,1464
1,37,37,128M,128M,1045,1236
1,38,38,128M,128M,1003,1368
1,39,39,128M,128M,1018,1057
1,40,40,128M,128M,1017,1113
1,41,41,128M,128M,893,1389
1,42,42,128M,128M,1088,1362
1,43,43,128M,128M,862,1155
1,44,44,128M,128M,1045,1367
1,45,45,128M,128M,1062,1371
1,46,46,128M,128M,1038,1166
1,47,47,128M,128M,1042,1145
1,48,48,128M,128M,1047,1146
