nodes,tasks,clients,xfersize,blocksize,write,read
3,3,1,4K,4M,68,56
3,6,2,4K,4M,124,100
3,9,3,4K,4M,150,136
3,12,4,4K,4M,174,157
3,15,5,4K,4M,137,140
3,18,6,4K,4M,163,182
3,21,7,4K,4M,199,203
3,24,8,4K,4M,164,178
3,27,9,4K,4M,188,214
3,30,10,4K,4M,176,204
3,33,11,4K,4M,215,244
3,36,12,4K,4M,204,237
3,39,13,4K,4M,203,239
3,42,14,4K,4M,198,218
3,45,15,4K,4M,239,277
3,48,16,4K,4M,243,276
3,51,17,4K,4M,190,217
3,54,18,4K,4M,214,256
3,57,19,4K,4M,247,273
3,60,20,4K,4M,246,293
3,63,21,4K,4M,233,271
3,66,22,4K,4M,252,282
3,69,23,4K,4M,247,287
3,72,24,4K,4M,183,222
3,75,25,4K,4M,236,265
3,78,26,4K,4M,245,274
3,81,27,4K,4M,270,313
3,84,28,4K,4M,238,263
3,87,29,4K,4M,234,267
3,90,30,4K,4M,282,314
3,93,31,4K,4M,205,241
3,96,32,4K,4M,247,270
3,99,33,4K,4M,243,278
3,102,34,4K,4M,229,252
3,105,35,4K,4M,249,293
3,108,36,4K,4M,279,325
3,111,37,4K,4M,237,295
3,114,38,4K,4M,201,241
3,117,39,4K,4M,257,314
3,120,40,4K,4M,237,283
3,123,41,4K,4M,213,228
3,126,42,4K,4M,272,321
3,129,43,4K,4M,233,258
3,132,44,4K,4M,237,297
3,135,45,4K,4M,158,206
3,138,46,4K,4M,126,184
3,141,47,4K,4M,81,176
3,144,48,4K,4M,114,181
3,3,1,1M,200M,970,659
3,6,2,1M,200M,1774,1262
3,9,3,1M,200M,2237,1674
3,12,4,1M,200M,2571,2153
3,15,5,1M,200M,2779,2526
3,18,6,1M,200M,2678,2835
3,21,7,1M,200M,2921,3097
,,,,,,
,,,,,,
3,30,10,1M,200M,2919,3677
3,33,11,1M,200M,2784,3924
3,36,12,1M,200M,2883,4077
3,39,13,1M,200M,2797,4217
3,42,14,1M,200M,2832,4303
,,,,,,
3,48,16,1M,200M,2957,4542
3,51,17,1M,200M,2870,4486
3,54,18,1M,200M,2969,4416
3,57,19,1M,200M,2910,4615
3,60,20,1M,200M,2985,4738
3,63,21,1M,200M,2862,4782
3,66,22,1M,200M,2888,4770
3,69,23,1M,200M,2910,4628
3,72,24,1M,200M,2976,4883
3,75,25,1M,200M,2952,4968
3,78,26,1M,200M,2992,4978
3,81,27,1M,200M,3026,4828
3,84,28,1M,200M,2997,4978
3,87,29,1M,200M,3005,5086
3,90,30,1M,200M,3007,4828
3,93,31,1M,200M,3019,4890
3,96,32,1M,200M,2949,4391
3,99,33,1M,200M,2965,4039
3,102,34,1M,200M,2941,3927
3,105,35,1M,200M,3048,5009
3,108,36,1M,200M,2954,4938
3,111,37,1M,200M,3090,4165
3,114,38,1M,200M,3134,4139
3,117,39,1M,200M,3096,4049
3,120,40,1M,200M,3062,3862
3,123,41,1M,200M,2952,3952
3,126,42,1M,200M,2306,4066
3,129,43,1M,200M,2661,3568
3,132,44,1M,200M,2601,3818
3,135,45,1M,200M,2834,3491
3,138,46,1M,200M,2514,3609
3,141,47,1M,200M,2980,3526
3,144,48,1M,200M,2585,4076
3,3,1,4M,400M,969,667
3,6,2,4M,400M,1666,1215
3,9,3,4M,400M,2271,1647
3,12,4,4M,400M,2661,1992
3,15,5,4M,400M,2777,2359
3,18,6,4M,400M,2853,2671
3,21,7,4M,400M,2894,2996
3,24,8,4M,400M,2975,3314
3,27,9,4M,400M,2998,3471
3,30,10,4M,400M,3012,3559
3,33,11,4M,400M,2965,3749
3,36,12,4M,400M,3060,3956
3,39,13,4M,400M,2972,3948
3,42,14,4M,400M,3020,4179
3,45,15,4M,400M,3035,4217
3,48,16,4M,400M,3052,4367
