nodes,tasks,clients,xfersize,blocksize,write,read
1,1,1,4K,4M,,52
1,2,2,4K,4M,1,72
1,3,3,4K,4M,85,91
1,4,4,4K,4M,92,112
1,5,5,4K,4M,85,122
1,6,6,4K,4M,89,128
1,7,7,4K,4M,91,133
1,8,8,4K,4M,93,136
1,9,9,4K,4M,94,137
1,10,10,4K,4M,95,138
1,11,11,4K,4M,97,138
1,12,12,4K,4M,97,139
1,13,13,4K,4M,97,140
1,14,14,4K,4M,97,140
1,15,15,4K,4M,97,136
1,16,16,4K,4M,96,133
1,17,17,4K,4M,97,134
1,18,18,4K,4M,94,133
1,19,19,4K,4M,97,133
1,20,20,4K,4M,96,105
1,21,21,4K,4M,94,77
1,22,22,4K,4M,95,20
1,23,23,4K,4M,23,6
1,24,24,4K,4M,57,17
1,25,25,4K,4M,48,17
1,26,26,4K,4M,80,7
1,27,27,4K,4M,64,11
1,28,28,4K,4M,55,8
1,29,29,4K,4M,55,6
1,30,30,4K,4M,25,5
1,31,31,4K,4M,21,5
1,32,32,4K,4M,28,4
1,33,33,4K,4M,13,4
1,34,34,4K,4M,20,4
1,35,35,4K,4M,10,4
1,36,36,4K,4M,11,4
1,37,37,4K,4M,8,4
1,38,38,4K,4M,8,4
1,39,39,4K,4M,8,4
1,40,40,4K,4M,7,4
1,41,41,4K,4M,6,4
1,42,42,4K,4M,5,4
1,43,43,4K,4M,5,4
1,44,44,4K,4M,5,4
1,45,45,4K,4M,5,4
1,46,46,4K,4M,5,3
1,47,47,4K,4M,4,3
1,48,48,4K,4M,4,3
1,1,1,1M,200M,79,80
1,2,2,1M,200M,173,152
1,3,3,1M,200M,1091,1720
1,4,4,1M,200M,1124,2086
1,5,5,1M,200M,1071,2279
1,6,6,1M,200M,1047,2461
1,7,7,1M,200M,1050,2555
1,8,8,1M,200M,1115,2620
1,9,9,1M,200M,1097,2700
1,10,10,1M,200M,1086,2721
1,11,11,1M,200M,1081,2613
1,12,12,1M,200M,1107,2745
1,13,13,1M,200M,1110,2738
1,14,14,1M,200M,1118,2758
1,15,15,1M,200M,1108,2769
1,16,16,1M,200M,1106,2701
1,17,17,1M,200M,1107,2680
1,18,18,1M,200M,1101,2614
1,19,19,1M,200M,1122,2446
1,20,20,1M,200M,1123,2258
1,21,21,1M,200M,1121,1441
1,22,22,1M,200M,1127,1446
1,23,23,1M,200M,1090,804
1,24,24,1M,200M,1082,752
1,25,25,1M,200M,1103,825
1,26,26,1M,200M,1089,666
1,27,27,1M,200M,1058,632
1,28,28,1M,200M,1007,610
