nodes,tasks,clients,xfersize,blocksize,write,read
1,29,29,1M,200M,872,575
1,30,30,1M,200M,967,596
1,31,31,1M,200M,857,551
1,32,32,1M,200M,868,550
1,33,33,1M,200M,802,544
1,34,34,1M,200M,809,558
1,35,35,1M,200M,833,528
1,36,36,1M,200M,797,557
1,37,37,1M,200M,804,546
1,38,38,1M,200M,755,537
1,39,39,1M,200M,758,561
1,40,40,1M,200M,716,550
1,41,41,1M,200M,690,535
1,42,42,1M,200M,702,539
1,43,43,1M,200M,662,536
1,44,44,1M,200M,658,509
1,45,45,1M,200M,629,516
1,46,46,1M,200M,580,516
1,47,47,1M,200M,617,497
1,48,48,1M,200M,584,516
1,1,1,4M,400M,290,243
1,2,2,4M,400M,550,490
1,3,3,4M,400M,1129,2708
1,4,4,4M,400M,1110,2836
1,5,5,4M,400M,1102,2902
1,6,6,4M,400M,1101,2857
1,7,7,4M,400M,1136,2939
1,8,8,4M,400M,1117,2860
1,9,9,4M,400M,1099,2873
1,10,10,4M,400M,1126,2866
1,11,11,4M,400M,1117,2862
1,12,12,4M,400M,1129,2834
1,13,13,4M,400M,1133,2869
1,14,14,4M,400M,1130,2836
1,15,15,4M,400M,1136,2855
1,16,16,4M,400M,1124,2857
1,17,17,4M,400M,1111,2877
1,18,18,4M,400M,1108,2804
1,19,19,4M,400M,1121,2704
1,20,20,4M,400M,1116,2802
1,21,21,4M,400M,1121,1769
1,22,22,4M,400M,1096,2226
1,23,23,4M,400M,1104,1960
1,24,24,4M,400M,1125,1725
1,25,25,4M,400M,1124,2035
1,26,26,4M,400M,1128,1624
1,27,27,4M,400M,1120,1613
1,28,28,4M,400M,1112,1520
1,29,29,4M,400M,1117,1518
1,30,30,4M,400M,1128,1438
1,31,31,4M,400M,1124,1439
1,32,32,4M,400M,1114,1380
1,33,33,4M,400M,1088,1459
1,34,34,4M,400M,1116,1352
1,35,35,4M,400M,1122,1275
1,36,36,4M,400M,1104,1252
1,37,37,4M,400M,1112,1264
1,38,38,4M,400M,1126,1246
1,39,39,4M,400M,1122,1216
1,40,40,4M,400M,1079,1198
1,41,41,4M,400M,1121,1203
1,42,42,4M,400M,1106,1159
,,,,,,
1,44,44,4M,400M,1088,1075
1,45,45,4M,400M,1087,1107
1,46,46,4M,400M,1078,1102
1,47,47,4M,400M,1090,1110
1,48,48,4M,400M,1078,1158
1,1,1,64M,640M,529,643
1,2,2,64M,640M,917,1674
1,3,3,64M,640M,1063,2913
1,4,4,64M,640M,1145,2918
1,5,5,64M,640M,1142,2974
1,6,6,64M,640M,1149,2957
1,7,7,64M,640M,1140,2897
1,8,8,64M,640M,1128,2887
1,9,9,64M,640M,1174,2949
1,10,10,64M,640M,1160,2954
1,11,11,64M,640M,1140,2911
1,12,12,64M,640M,1155,2961
1,13,13,64M,640M,1155,2905
1,14,14,64M,640M,1146,2913
1,15,15,64M,640M,1137,2923
1,16,16,64M,640M,1141,2932
1,17,17,64M,640M,1135,2947
1,18,18,64M,640M,1162,2875
1,19,19,64M,640M,1149,2922
1,20,20,64M,640M,1150,2857
1,21,21,64M,640M,1148,2826
1,22,22,64M,640M,1129,2806
1,23,23,64M,640M,1090,2801
1,24,24,64M,640M,1108,2599
1,25,25,64M,640M,1105,2675
1,26,26,64M,640M,1095,2600
1,27,27,64M,640M,1077,2624
1,28,28,64M,640M,1096,2698
1,29,29,64M,640M,1092,2660
1,30,30,64M,640M,1076,2353
1,31,31,64M,640M,1088,2421
1,32,32,64M,640M,1086,2556
1,33,33,64M,640M,1120,2592
1,34,34,64M,640M,1133,2537
1,35,35,64M,640M,1147,2446
1,36,36,64M,640M,1119,2252
1,37,37,64M,640M,1130,2297
1,38,38,64M,640M,1143,2103
1,39,39,64M,640M,1143,1750
1,40,40,64M,640M,1132,1789
1,41,41,64M,640M,1148,1784
1,42,42,64M,640M,1125,1706
1,43,43,64M,640M,1126,1666
1,44,44,64M,640M,1126,1780
1,45,45,64M,640M,1123,1715
1,46,46,64M,640M,1115,1635
1,47,47,64M,640M,1116,1639
1,48,48,64M,640M,1108,1652
1,1,1,128M,1280M,773,751
1,2,2,128M,1280M,1029,1318
1,3,3,128M,1280M,1123,2949
1,4,4,128M,1280M,1105,2986
1,5,5,128M,1280M,1112,2780
1,6,6,128M,1280M,1119,2784
1,7,7,128M,1280M,1140,2932
1,8,8,128M,1280M,1153,2870
1,9,9,128M,1280M,1150,2859
1,10,10,128M,1280M,1143,2919
1,11,11,128M,1280M,1135,3011
1,12,12,128M,1280M,1135,2980
1,13,13,128M,1280M,1117,2862
1,14,14,128M,1280M,1099,2765
1,15,15,128M,1280M,1101,2879
1,16,16,128M,1280M,1104,2754
1,17,17,128M,1280M,1091,2807
1,18,18,128M,1280M,1098,2880
1,19,19,128M,1280M,1112,2856
1,20,20,128M,1280M,1092,2856
1,21,21,128M,1280M,1130,2874
1,22,22,128M,1280M,1140,2789
1,23,23,128M,1280M,1140,2840
1,24,24,128M,1280M,1152,2676
1,25,25,128M,1280M,1143,2119
1,26,26,128M,1280M,1140,1929
1,27,27,128M,1280M,1133,2609
1,28,28,128M,1280M,1130,2532
1,29,29,128M,1280M,1145,2016
1,30,30,128M,1280M,1140,1757
1,31,31,128M,1280M,1147,2515
1,32,32,128M,1280M,1122,2609
1,33,33,128M,1280M,1105,2689
1,34,34,128M,1280M,1074,1769
1,35,35,128M,1280M,1086,2285
1,36,36,128M,1280M,1083,1767
1,37,37,128M,1280M,1126,1954
1,38,38,128M,1280M,1131,2019
1,39,39,128M,1280M,1141,1960
1,40,40,128M,1280M,1135,2021
1,41,41,128M,1280M,1139,1916
1,42,42,128M,1280M,1128,1853
1,43,43,128M,1280M,1128,1741
1,44,44,128M,1280M,1109,1780
1,45,45,128M,1280M,1123,1785
1,46,46,128M,1280M,1088,1532
1,47,47,128M,1280M,1078,1636
1,48,48,128M,1280M,1090,1498

